title,issn,eissn,publisher,url,subject,keywords,jcr_quartile,jcr_if,jcr_category,jcr_rank,jcr_year,cas_quartile,cas_category,cas_top,cas_year,ei_indexed,ei_category,submission_url,review_time,acceptance_rate,publication_fee,open_access,abstracted_in,notes,source,last_updated
Nature,0028-0836,1476-4687,Nature Publishing Group,https://www.nature.com/,,,Q1,64.8,Multidisciplinary Sciences,,,1区,,True,,True,,,,,,False,,,Sample Data,2026-03-27T15:56:23.280835
Science,0036-8075,1095-9203,American Association for the Advancement of Science,https://www.science.org/,,,Q1,56.9,Multidisciplinary Sciences,,,1区,,True,,True,,,,,,False,,,Sample Data,2026-03-27T15:56:23.280847
Cell,0092-8674,1097-4172,Cell Press,https://www.cell.com/,,,Q1,66.85,Biochemistry & Molecular Biology,,,1区,,True,,False,,,,,,False,,,Sample Data,2026-03-27T15:56:23.280851
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,1939-3539,IEEE,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=34,Computer Science,,Q1,24.314,"Computer Science, Artificial Intelligence",,,1区,,True,,True,,,,,,False,,,Sample Data,2026-03-27T15:56:23.280854
Journal of the American Chemical Society,0002-7863,1520-5126,American Chemical Society,https://pubs.acs.org/journal/jacsat,Chemistry,,Q1,16.383,"Chemistry, Multidisciplinary",,,1区,,True,,True,,,,,,False,,,Sample Data,2026-03-27T15:56:23.280857
Physical Review Letters,0031-9007,1079-7114,American Physical Society,https://journals.aps.org/prl/,Physics,,Q1,9.185,"Physics, Multidisciplinary",,,1区,,True,,True,,,,,,False,,,Sample Data,2026-03-27T15:56:23.280859
The Lancet,0140-6736,1474-547X,Elsevier,https://www.thelancet.com/,Medicine,,Q1,168.9,"Medicine, General & Internal",,,1区,,True,,False,,,,,,False,,,Sample Data,2026-03-27T15:56:23.280861
New England Journal of Medicine,0028-4793,1533-4406,Massachusetts Medical Society,https://www.nejm.org/,Medicine,,Q1,158.5,"Medicine, General & Internal",,,1区,,True,,False,,,,,,False,,,Sample Data,2026-03-27T15:56:23.280863
Nature Machine Intelligence,2522-5839,,Nature Publishing Group,https://www.nature.com/natmachintell/,Computer Science,,Q1,23.8,"Computer Science, Artificial Intelligence",,,1区,,False,,False,,,,,,True,,,Sample Data,2026-03-27T15:56:23.280865
ACM Computing Surveys,0360-0300,1557-7341,ACM,https://dl.acm.org/journal/csur,Computer Science,,Q1,16.6,"Computer Science, Theory & Methods",,,2区,,False,,True,,,,,,False,,,Sample Data,2026-03-27T15:56:23.280867
